"TypeNamespacePrefix","TypeName","QualifiedType","ContentStyle","SimpleStyle","IsMetadata","IsAdapter","IsAugmentation","Keywords","ExampleContent","UsageInfo","Definition","SimpleTypeNamespacePrefix","SimpleTypeName","SimpleQualifiedType","ParentTypeNamespacePrefix","ParentTypeName","ParentQualifiedType"
"ansi_d20","AccidentSeverityCodeSimpleType","ansi_d20:AccidentSeverityCodeSimpleType","S","atomic",0,0,0,"","","","A data type for severity levels of an accident.","xsd","token","xsd:token","","",""
"ansi_d20","AccidentSeverityCodeType","ansi_d20:AccidentSeverityCodeType","CSC",,0,0,0,"","","","A data type for severity levels of an accident.","ansi_d20","AccidentSeverityCodeSimpleType","ansi_d20:AccidentSeverityCodeSimpleType","","",""
"ansi_d20","BrandCodeSimpleType","ansi_d20:BrandCodeSimpleType","S","atomic",0,0,0,"","","","A data type for a brand applied to a vehicle title or odometer.","xsd","token","xsd:token","","",""
"ansi_d20","BrandCodeType","ansi_d20:BrandCodeType","CSC",,0,0,0,"","","","A data type for a brand applied to a vehicle title or odometer.","ansi_d20","BrandCodeSimpleType","ansi_d20:BrandCodeSimpleType","","",""
"ansi_d20","BrandDamagePercentageCategoryCodeSimpleType","ansi_d20:BrandDamagePercentageCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for the percentage of damage in a brand on a vehicle.","xsd","token","xsd:token","","",""
"ansi_d20","BrandDamagePercentageCategoryCodeType","ansi_d20:BrandDamagePercentageCategoryCodeType","CSC",,0,0,0,"","","","A data type for the percentage of damage in a brand on a vehicle.","ansi_d20","BrandDamagePercentageCategoryCodeSimpleType","ansi_d20:BrandDamagePercentageCategoryCodeSimpleType","","",""
"ansi_d20","BranderCategoryCodeSimpleType","ansi_d20:BranderCategoryCodeSimpleType","S","atomic",0,0,0,"","","","A data type for kinds of branders.","xsd","token","xsd:token","","",""
"ansi_d20","BranderCategoryCodeType","ansi_d20:BranderCategoryCodeType","CSC",,0,0,0,"","","","A data type for kinds of branders.","ansi_d20","BranderCategoryCodeSimpleType","ansi_d20:BranderCategoryCodeSimpleType","","",""
"ansi_d20","BrandVehicleDispositionCodeSimpleType","ansi_d20:BrandVehicleDispositionCodeSimpleType","S","atomic",0,0,0,"","","","A data type for vehicle dispositions.","xsd","token","xsd:token","","",""
"ansi_d20","BrandVehicleDispositionCodeType","ansi_d20:BrandVehicleDispositionCodeType","CSC",,0,0,0,"","","","A data type for vehicle dispositions.","ansi_d20","BrandVehicleDispositionCodeSimpleType","ansi_d20:BrandVehicleDispositionCodeSimpleType","","",""
