"NamespacePrefix","NamespaceFile","VersionURI","VersionReleaseNumber","NamespaceStyle","NamespaceIsExternallyGenerated","IsConformant","Definition"
"ansi_d20","ansi_d20","http://niem.gov/niem/ansi_d20/2.0","2.0","E",0,1,"Motor vehicle administration codes from ANSI D20, the Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators."
"ansi-nist","ansi-nist","http://niem.gov/niem/ansi-nist/2.0","2.0","E",0,1,"ANSI/NIST Fingerprint and Biometric standard."
"apco","apco","http://niem.gov/niem/apco/2.1","2.1","E",0,1,"Association of Public-Safety Communications Officials (APCO) - International, Inc."
"atf","atf","http://niem.gov/niem/atf/2.0","2.0","E",0,1,"Bureau of Alcohol, Tobacco, and Firearms"
"can","post-canada","http://niem.gov/niem/post-canada/2.0","2.0","E",0,1,"Province codes for Canada."
"cap","",,"1.0","N",1,0,"Common Alerting Protocol (CAP) is a simple but general format for exchanging effective warning messages based on best practices identified in academic research and real-world experience."
"cbrn","cbrn","http://niem.gov/niem/domains/cbrn/2.1","2.1","D",0,1,"Chemical, Biological, Radiological, and Nuclear Domain"
"cbrncl","cbrncl","http://niem.gov/niem/cbrncl/2.1","2.1","E",0,1,"Radiological and Nuclear Code List"
"census","census","http://niem.gov/niem/census/2.0","2.0","E",0,1,"Employment codes from the U.S. Census Bureau."
"de",,,"1.0","N",1,0,"This Distribution Element specification describes a standard message distribution framework for data sharing among emergency information systems using the XML-based Emergency Data Exchange Language (EDXL). This format may be used over any data transmission system, including but not limited to the SOAP HTTP binding."
"dea","dea","http://niem.gov/niem/dea/2.1","2.1","E",0,1,"Drug Enforcement Administration"
"dod_jcs-pub2.0","dod_jcs-pub2.0-misc","http://niem.gov/niem/dod_jcs-pub2.0-misc/2.0","2.0","E",0,1,"Intelligence discipline codes from the U.S. Department of Defense (DoD) Joint Publication 2.01."
"edxl","edxl","http://niem.gov/niem/edxl/2.1","2.1","E",0,1,"Emergency Data Exchange Language"
"edxl-cap","edxl-cap","http://niem.gov/niem/edxl-cap/2.1","2.1","A",0,1,"Common Alerting Protocol"
"edxl-de","edxl-de","http://niem.gov/niem/edxl-de/2.1","2.1","A",0,1,"Distribution Element"
"edxl-have","edxl-have","http://niem.gov/niem/edxl-have/2.1","2.1","A",0,1,"EDXL-HAVE specifies an XML document format that allows the communication of the status of a hospital, its services, and its resources. These include bed capacity and availability, emergency department status, available service coverage, and the status of a hospital's facility and operations."
"em","emergencyManagement","http://niem.gov/niem/domains/emergencyManagement/2.1","2.1","D",0,1,"Emergency Management"
"fbi","fbi","http://niem.gov/niem/fbi/2.0","2.0","E",0,1,"FBI code lists for National Crime and Information Center (NCIC-2000), National Incident-Based Reporting System (NIBRS), and National Law Enforcement Data Exchange (N-DEx)."
"fips_10-4","fips_10-4","http://niem.gov/niem/fips_10-4/2.0","2.0","E",0,1,"Countries, dependencies, areas of special sovereignty, and their principal administrative divisions from the Federal Information Processing Standards (FIPS) 10-4."
"fips_5-2","fips_5-2","http://niem.gov/niem/fips_5-2/2.0","2.0","E",0,1,"Codes for the identification of the states, the District of Columbia and the outlying areas of the U.S., and associated areas from the Federal Information Processing Standards (FIPS) 5-2."
