"PropertyNamespacePrefix","PropertyName","QualifiedProperty","IsElement","IsAbstract","Keywords","ExampleContent","UsageInfo","Definition","TypeNamespacePrefix","TypeName","QualifiedType","SubstitutionGroupPropertyNamespacePrefix","SubstitutionGroupPropertyName","SubstitutionGroupQualifiedProperty"
"j","AbscondIndicator","j:AbscondIndicator",1,0,"","","","True if person under supervision has departed secretly to evade legal process","niem-xsd","boolean","niem-xsd:boolean",,,
"im","AcademicProgramText","im:AcademicProgramText",1,0,,,,"A field detailing the alien students academic program.","nc","TextType","nc:TextType",,,
"im","AcademicTermLengthQuantity","im:AcademicTermLengthQuantity",1,0,,,,"A number indicating a time duration estimate of an alien students academic-term.","nc","QuantityType","nc:QuantityType",,,
"scr","AccessControlLevelCodeValue","scr:AccessControlLevelCodeValue",1,0,"","","","The number value for the access control level to be applied to the record","niem-xsd","integer","niem-xsd:integer",,,
"scr","AccompaniedByFamilyIndicator","scr:AccompaniedByFamilyIndicator",1,0,,,,"An indicator indicating whether a subject is accompanied by a family member when entering the United States.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","AccompliceAssociation","j:AccompliceAssociation",1,0,,,,"An association between an accomplice and a subject.","j","SubjectPersonAssociationType","j:SubjectPersonAssociationType",,,
"cbrn","AcknowledgementData","cbrn:AcknowledgementData",1,0,"","","","Information regarding an acknowledgement.","cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType",,,
"scr","AcknowledgementDate","scr:AcknowledgementDate",1,0,,,,"The date that the request is ready for processing in the US-VISIT/IDENT system.","nc","DateType","nc:DateType",,,
"cbrn","AcknowledgementDateTime","cbrn:AcknowledgementDateTime",1,0,"","","","Date/time an acknowledgement was generated.","niem-xsd","dateTime","niem-xsd:dateTime",,,
"cbrn","AcknowledgementID","cbrn:AcknowledgementID",1,0,"","","","Identifier of an acknowledgement.","niem-xsd","string","niem-xsd:string",,,
"cbrn","AcknowledgingActivityName","cbrn:AcknowledgingActivityName",1,0,"","","","Name of the activity that produced an acknowledgement. This property can be used to provide data for workflow coordination by the sending or receiving systems.","niem-xsd","string","niem-xsd:string",,,
"cbrn","AcknowledgingAgency","cbrn:AcknowledgingAgency",1,0,"","","","An organization that is responsible for generating an acknowledgement message.","cbrn","AcknowledgingAgencyType","cbrn:AcknowledgingAgencyType",,,
"cbrn","AcknowledgingAgencyCode","cbrn:AcknowledgingAgencyCode",1,0,"","","","Organization that is responsible for generating an acknowledgement.","cbrncl","GNDAOrgCodeType","cbrncl:GNDAOrgCodeType",,,
"nc","AcquaintanceAssociation","nc:AcquaintanceAssociation",1,0,,,,"An association between people who recognize each other but do not know each other very well.","nc","PersonAssociationType","nc:PersonAssociationType",,,
"fs","ActionRequested","fs:ActionRequested",1,1,"","","","The action being requested by the agency.",,,,,,
"fs","ActionRequestedCode","fs:ActionRequestedCode",1,0,"","","","Code indicating any of the actions being requested of the court e.g.
  what types of services the child needs
  (e.g. mental health, medical, emergency,
  basic, therapeutic, habilitative).","fs","ActionRequestedCodeType","fs:ActionRequestedCodeType","fs","ActionRequested","fs:ActionRequested"
