"TypeNamespacePrefix","TypeName","QualifiedType","PropertyNamespacePrefix","PropertyName","QualifiedProperty","MinOccurs","MaxOccurs","Definition","SequenceNumber"
"geo","AbstractContinuousCoverageType","geo:AbstractContinuousCoverageType","gml","_ContinuousCoverage","gml:_ContinuousCoverage","1","unbounded","A coverage that can return different values for the same feature attribute at different direct positions within a single spatiotemporal object.",210
"geo","AbstractDiscreteCoverageType","geo:AbstractDiscreteCoverageType","gml","_DiscreteCoverage","gml:_DiscreteCoverage","1","unbounded","A coverage with finite domain set ((temporal) geometry objects), range set (attribute values mapped to domain), and optional coverage function.",220
"geo","AbstractObservationType","geo:AbstractObservationType","om","AbstractObservation","om:AbstractObservation","1","unbounded","Place Holder for any observation of an event.  See: EventType. In the context of an Observation, the interpretation of some of the properties shall be refined as follows: time - the date/Time at which the procedure was executed; location - the location of the procedure (sensor, intrument, computational engine) at the time of the observation event; procedure - the procedure used to record the event.",300
"j","ActivityArrestAssociationType","j:ActivityArrestAssociationType","nc","Activity","nc:Activity","0","unbounded","",10
"j","ActivityArrestAssociationType","j:ActivityArrestAssociationType","j","Arrest","j:Arrest","0","unbounded","",20
"j","ActivityAugmentationType","j:ActivityAugmentationType","j","ActivityDocumentServer","j:ActivityDocumentServer","0","unbounded","",10
"j","ActivityAugmentationType","j:ActivityAugmentationType","j","ActivityDocumentValidator","j:ActivityDocumentValidator","0","unbounded","",20
"j","ActivityAugmentationType","j:ActivityAugmentationType","j","ActivityOfficial","j:ActivityOfficial","0","unbounded","",30
"ansi-nist","ActivityAugmentationType","ansi-nist:ActivityAugmentationType","ansi-nist","ActivityAgencyNotificationIndicator","ansi-nist:ActivityAgencyNotificationIndicator","0","unbounded","",2470
"ansi-nist","ActivityAugmentationType","ansi-nist:ActivityAugmentationType","ansi-nist","ActivityApprovalDate","ansi-nist:ActivityApprovalDate","0","unbounded","",2480
"ansi-nist","ActivityAugmentationType","ansi-nist:ActivityAugmentationType","ansi-nist","ActivityEndTimeZoneCode","ansi-nist:ActivityEndTimeZoneCode","0","unbounded","",2490
"ansi-nist","ActivityAugmentationType","ansi-nist:ActivityAugmentationType","ansi-nist","ActivityTimeZoneCode","ansi-nist:ActivityTimeZoneCode","0","unbounded","",2500
"j","ActivityCaseAssociationType","j:ActivityCaseAssociationType","nc","Activity","nc:Activity","0","unbounded","",30
"j","ActivityCaseAssociationType","j:ActivityCaseAssociationType","nc","Case","nc:Case","0","unbounded","",40
"j","ActivityChargeAssociationType","j:ActivityChargeAssociationType","nc","Activity","nc:Activity","0","unbounded","",50
"j","ActivityChargeAssociationType","j:ActivityChargeAssociationType","j","Charge","j:Charge","0","unbounded","",60
"j","ActivityCommunityServiceAssociationType","j:ActivityCommunityServiceAssociationType","nc","Activity","nc:Activity","0","unbounded","",70
"j","ActivityCommunityServiceAssociationType","j:ActivityCommunityServiceAssociationType","j","CommunityService","j:CommunityService","0","unbounded","",80
"j","ActivityContactInformationAssociationType","j:ActivityContactInformationAssociationType","nc","Activity","nc:Activity","0","unbounded","",90
"j","ActivityContactInformationAssociationType","j:ActivityContactInformationAssociationType","nc","ContactInformation","nc:ContactInformation","0","unbounded","",100
"j","ActivityContactInformationAssociationType","j:ActivityContactInformationAssociationType","nc","Person","nc:Person","0","unbounded","",110
"nc","ActivityConveyanceAssociationType","nc:ActivityConveyanceAssociationType","nc","Activity","nc:Activity","0","unbounded","",10
"nc","ActivityConveyanceAssociationType","nc:ActivityConveyanceAssociationType","nc","Conveyance","nc:Conveyance","0","unbounded","",20
"j","ActivityCounselingAssociationType","j:ActivityCounselingAssociationType","nc","Activity","nc:Activity","0","unbounded","",120
"j","ActivityCounselingAssociationType","j:ActivityCounselingAssociationType","j","Counseling","j:Counseling","0","unbounded","",130
"j","ActivityCourtAssociationType","j:ActivityCourtAssociationType","nc","Activity","nc:Activity","0","unbounded","",140
"j","ActivityCourtAssociationType","j:ActivityCourtAssociationType","j","Court","j:Court","0","unbounded","",150
"j","ActivityCourtOrderAssociationType","j:ActivityCourtOrderAssociationType","nc","Activity","nc:Activity","0","unbounded","",160
"j","ActivityCourtOrderAssociationType","j:ActivityCourtOrderAssociationType","j","CourtOrder","j:CourtOrder","0","unbounded","",170
"j","ActivityCourtOrderAssociationType","j:ActivityCourtOrderAssociationType","j","Subject","j:Subject","0","unbounded","",180
"j","ActivityCriminalOrganizationAssociationType","j:ActivityCriminalOrganizationAssociationType","nc","Activity","nc:Activity","0","unbounded","",190
"j","ActivityCriminalOrganizationAssociationType","j:ActivityCriminalOrganizationAssociationType","j","CriminalOrganization","j:CriminalOrganization","0","unbounded","",200
"j","ActivityCustodyTransferAssociationType","j:ActivityCustodyTransferAssociationType","nc","Activity","nc:Activity","0","unbounded","",210
"j","ActivityCustodyTransferAssociationType","j:ActivityCustodyTransferAssociationType","j","CustodyTransfer","j:CustodyTransfer","0","unbounded","",220
"j","ActivityCustodyTransferAssociationType","j:ActivityCustodyTransferAssociationType","j","Subject","j:Subject","0","unbounded","",230
"nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType","nc","Activity","nc:Activity","0","unbounded",,1300
"nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType","nc","Document","nc:Document","0","unbounded",,1310
"j","ActivityDriverLicenseAssociationType","j:ActivityDriverLicenseAssociationType","nc","Activity","nc:Activity","0","unbounded","",240
"j","ActivityDriverLicenseAssociationType","j:ActivityDriverLicenseAssociationType","nc","DriverLicense","nc:DriverLicense","0","unbounded","",250
"j","ActivityDriverLicenseAssociationType","j:ActivityDriverLicenseAssociationType","nc","Person","nc:Person","0","unbounded","",260
"j","ActivityEmployeeAssociationType","j:ActivityEmployeeAssociationType","nc","Activity","nc:Activity","0","unbounded","",270
"j","ActivityEmployeeAssociationType","j:ActivityEmployeeAssociationType","nc","Employee","nc:Employee","0","unbounded","",280
"j","ActivityEvidenceAssociationType","j:ActivityEvidenceAssociationType","nc","Activity","nc:Activity","0","unbounded","",290
"j","ActivityEvidenceAssociationType","j:ActivityEvidenceAssociationType","j","Evidence","j:Evidence","0","unbounded","",300
"j","ActivityFacilityAssociationType","j:ActivityFacilityAssociationType","nc","Activity","nc:Activity","0","unbounded","",310
