"TypeNamespacePrefix","TypeName","QualifiedType","ContentStyle","SimpleStyle","IsMetadata","IsAdapter","IsAugmentation","Keywords","ExampleContent","UsageInfo","Definition","SimpleTypeNamespacePrefix","SimpleTypeName","SimpleQualifiedType","ParentTypeNamespacePrefix","ParentTypeName","ParentQualifiedType"
"ansi_d20","AccidentSeverityCodeSimpleType","ansi_d20:AccidentSeverityCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates severity levels of an accident.","xsd","token","xsd:token","","",""
"ansi_d20","AccidentSeverityCodeType","ansi_d20:AccidentSeverityCodeType","CSC",,0,0,0,,,,"A code list that enumerates severity levels of an accident.","ansi_d20","AccidentSeverityCodeSimpleType","ansi_d20:AccidentSeverityCodeSimpleType","u","SuperType","u:SuperType"
"ansi_d20","BrandCodeSimpleType","ansi_d20:BrandCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates information about a brand applied to a vehicle title or odometer.","xsd","token","xsd:token","","",""
"ansi_d20","BrandCodeType","ansi_d20:BrandCodeType","CSC",,0,0,0,,,,"A code list that enumerates information about a brand applied to a vehicle title or odometer.","ansi_d20","BrandCodeSimpleType","ansi_d20:BrandCodeSimpleType","","",""
"ansi_d20","BrandDamagePercentageCategoryCodeSimpleType","ansi_d20:BrandDamagePercentageCategoryCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates information about the percentage of damage in a brand on a vehicle.","xsd","token","xsd:token","","",""
"ansi_d20","BrandDamagePercentageCategoryCodeType","ansi_d20:BrandDamagePercentageCategoryCodeType","CSC",,0,0,0,,,,"A code list that enumerates information about the percentage of damage in a brand on a vehicle.","ansi_d20","BrandDamagePercentageCategoryCodeSimpleType","ansi_d20:BrandDamagePercentageCategoryCodeSimpleType","","",""
"ansi_d20","BranderCategoryCodeSimpleType","ansi_d20:BranderCategoryCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates types of branders.","xsd","token","xsd:token","","",""
"ansi_d20","BranderCategoryCodeType","ansi_d20:BranderCategoryCodeType","CSC",,0,0,0,,,,"A code list that enumerates types of branders.","ansi_d20","BranderCategoryCodeSimpleType","ansi_d20:BranderCategoryCodeSimpleType","","",""
"ansi_d20","BrandVehicleDispositionCodeSimpleType","ansi_d20:BrandVehicleDispositionCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates vehicle dispositions.","xsd","token","xsd:token","","",""
"ansi_d20","BrandVehicleDispositionCodeType","ansi_d20:BrandVehicleDispositionCodeType","CSC",,0,0,0,,,,"A code list that enumerates vehicle dispositions.","ansi_d20","BrandVehicleDispositionCodeSimpleType","ansi_d20:BrandVehicleDispositionCodeSimpleType","","",""
"ansi_d20","CMVCodeSimpleType","ansi_d20:CMVCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates information about whether a person was operating a commercial motor vehicle in an incident.","xsd","token","xsd:token","","",""
"ansi_d20","CMVCodeType","ansi_d20:CMVCodeType","CSC",,0,0,0,,,,"A code list that enumerates information about whether a person was operating a commercial motor vehicle in an incident.","ansi_d20","CMVCodeSimpleType","ansi_d20:CMVCodeSimpleType","","",""
"ansi_d20","CourtCategoryCodeSimpleType","ansi_d20:CourtCategoryCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates types of courts.","xsd","token","xsd:token","","",""
"ansi_d20","CourtCategoryCodeType","ansi_d20:CourtCategoryCodeType","CSC",,0,0,0,,,,"A code list that enumerates types of courts.","ansi_d20","CourtCategoryCodeSimpleType","ansi_d20:CourtCategoryCodeSimpleType","","",""
"ansi_d20","DecalPeriodCodeSimpleType","ansi_d20:DecalPeriodCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates information that describes the lifespan of a decal.","xsd","token","xsd:token","","",""
"ansi_d20","DecalPeriodCodeType","ansi_d20:DecalPeriodCodeType","CSC",,0,0,0,,,,"A code list that enumerates information that describes the lifespan of a decal.","ansi_d20","DecalPeriodCodeSimpleType","ansi_d20:DecalPeriodCodeSimpleType","","",""
"ansi_d20","DriverLicenseClassCodeSimpleType","ansi_d20:DriverLicenseClassCodeSimpleType","S","atomic",0,0,0,,,,"A code list that enumerates types of vehicles that a licensed driver may be approved to operate.","xsd","token","xsd:token","","",""
"ansi_d20","DriverLicenseClassCodeType","ansi_d20:DriverLicenseClassCodeType","CSC",,0,0,0,,,,"A code list that enumerates types of vehicles that a licensed driver may be approved to operate.","ansi_d20","DriverLicenseClassCodeSimpleType","ansi_d20:DriverLicenseClassCodeSimpleType","","",""
