"PropertyNamespacePrefix","PropertyName","QualifiedProperty","IsElement","IsAbstract","Keywords","ExampleContent","UsageInfo","Definition","TypeNamespacePrefix","TypeName","QualifiedType","SubstitutionGroupPropertyNamespacePrefix","SubstitutionGroupPropertyName","SubstitutionGroupQualifiedProperty"
"gml","_ContinuousCoverage","gml:_ContinuousCoverage",1,0,,,,"",,,,,,
"gml","_DiscreteCoverage","gml:_DiscreteCoverage",1,0,,,,"",,,,,,
"gml","_Feature","gml:_Feature",1,0,,,,"",,,,,,
"gml","_Geometry","gml:_Geometry",1,0,,,,"",,,,,,
"gs","AbstractContinuousCoverage","gs:AbstractContinuousCoverage",1,0,,,,"A coverage that can return different values for the same feature attribute at different direct positions within a single spatiotemporal object.","gs","AbstractContinuousCoverageType","gs:AbstractContinuousCoverageType","gs","Geospatial","gs:Geospatial"
"gs","AbstractDiscreteCoverage","gs:AbstractDiscreteCoverage",1,0,,,,"A coverage with finite domain set ((temporal) geometry objects), range set (attribute values mapped to domain), and optional coverage function.","gs","AbstractDiscreteCoverageType","gs:AbstractDiscreteCoverageType","gs","Geospatial","gs:Geospatial"
"gs","AbstractObservation","gs:AbstractObservation",1,1,,,,"Place Holder for any observation of an event.  See: Event.","gs","AbstractObservationType","gs:AbstractObservationType","gs","Geospatial","gs:Geospatial"
"om","AbstractObservation","om:AbstractObservation",1,0,,,,"",,,,,,
"im","AcademicProgramText","im:AcademicProgramText",1,0,,,,"A field detailing the alien students academic program.","u","TextType","u:TextType",,,
"im","AcademicTermLengthQuantity","im:AcademicTermLengthQuantity",1,0,,,,"A five-digit number indicating a time duration estimate of an alien students academic-term.","u","QuantityType","u:QuantityType",,,
"scr","AccompaniedByFamilyIndicator","scr:AccompaniedByFamilyIndicator",1,0,,,,"An indicator indicating whether a subject is accompanied by a family member when entering the United States.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","AccompliceAssociation","j:AccompliceAssociation",1,0,,,,"An association between an accomplice and a subject.","j","SubjectPersonAssociationType","j:SubjectPersonAssociationType",,,
"c","AcquaintanceAssociation","c:AcquaintanceAssociation",1,0,,,,"An association between people who casually know each other.","c","PersonalAssociationType","c:PersonalAssociationType",,,
"u","Activity","u:Activity",1,0,,,,"Details about an activity or process that occurs. An activity may encompass a period of time and multiple occurrences.","u","ActivityType","u:ActivityType",,,
"j","ActivityAbstracter","j:ActivityAbstracter",1,1,,,,"An entity that abstracted a particular set of information about an activity.",,,,,,
"j","ActivityAssistingPersonAssociation","j:ActivityAssistingPersonAssociation",1,0,,,,"An association between an activity and someone who assists with that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"u","ActivityCategoryText","u:ActivityCategoryText",1,0,,,,"A type of activity or process that occurred.","u","TextType","u:TextType",,,
"j","ActivityClearer","j:ActivityClearer",1,1,,,,"An entity that cleared a particular activity.",,,,,,
"j","ActivityClearerPersonAssociation","j:ActivityClearerPersonAssociation",1,0,,,,"An association between an activity and a person who cleared information for that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"scr","ActivityCommentText","scr:ActivityCommentText",1,0,,,,"A note or comment about an activity.","u","TextType","u:TextType",,,
