"TypeNamespacePrefix","TypeName","QualifiedType","PropertyNamespacePrefix","PropertyName","QualifiedProperty","MinOccurs","MaxOccurs","Definition","SequenceNumber"
"gs","AbstractContinuousCoverageType","gs:AbstractContinuousCoverageType","gml","_ContinuousCoverage","gml:_ContinuousCoverage","1","unbounded","A coverage that can return different values for the same feature attribute at different direct positions within a single spatiotemporal object.",210
"gs","AbstractDiscreteCoverageType","gs:AbstractDiscreteCoverageType","gml","_DiscreteCoverage","gml:_DiscreteCoverage","1","unbounded","A coverage with finite domain set ((temporal) geometry objects), range set (attribute values mapped to domain), and optional coverage function.",220
"gs","AbstractObservationType","gs:AbstractObservationType","om","AbstractObservation","om:AbstractObservation","1","unbounded","Place Holder for any observation of an event.  See: EventType.  &lt;xhtml:table&gt;
&lt;xhtml:tr&gt;&lt;xhtml:td colspan=&quot;&quot;2&quot;&quot;&gt;In the context of an Observation, the interpretation of some of the properties shall be refined as follows:&lt;/xhtml:td&gt;&lt;/xhtml:tr&gt;
&lt;xhtml:tr&gt;&lt;xhtml:td&gt;time&lt;/xhtml:td&gt;&lt;xhtml:td&gt;the date/Time at which the procedure was executed&lt;/xhtml:td&gt;&lt;/xhtml:tr&gt;
&lt;xhtml:tr&gt;&lt;xhtml:td&gt;location&lt;/xhtml:td&gt;&lt;xhtml:td&gt;the location of the procedure (sensor, intrument, computational engine) at the time of the observation event&lt;/xhtml:td&gt;&lt;/xhtml:tr&gt;
&lt;xhtml:tr&gt;&lt;xhtml:td&gt;procedure&lt;/xhtml:td&gt;&lt;xhtml:td&gt;the procedure used to record the event&lt;/xhtml:td&gt;&lt;/xhtml:tr&gt;
&lt;/xhtml:table&gt;",300
"c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType","u","Activity","u:Activity","0","unbounded",,1300
"c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType","u","Document","u:Document","0","unbounded",,1310
"c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType","u","Activity","u:Activity","0","unbounded",,1340
"c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType","u","Organization","u:Organization","0","unbounded",,1350
"c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType","c","IsPrimaryOrganizationIndicator","c:IsPrimaryOrganizationIndicator","0","unbounded",,1360
"c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType","u","Activity","u:Activity","0","unbounded",,1320
"c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType","u","Person","u:Person","0","unbounded",,1330
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","TransactionControlNumberID","scr:TransactionControlNumberID","0","unbounded",,210
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityProcessClassification","scr:ActivityProcessClassification","0","unbounded",,1610
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityRequestClassification","scr:ActivityRequestClassification","0","unbounded",,1620
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityResultsClassification","scr:ActivityResultsClassification","0","unbounded",,1630
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityResponseClassification","scr:ActivityResponseClassification","0","unbounded",,1640
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityResponseQuantity","scr:ActivityResponseQuantity","0","unbounded",,1650
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityResponseRuleText","scr:ActivityResponseRuleText","0","unbounded",,1660
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityPriorityQuantity","scr:ActivityPriorityQuantity","0","unbounded",,1670
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityResponseText","scr:ActivityResponseText","0","unbounded",,1680
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","Person","scr:Person","0","unbounded",,1690
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","Device","scr:Device","0","unbounded",,1700
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","LocationElement","scr:LocationElement","0","unbounded",,1710
"scr","ActivityProcessAugmentationType","scr:ActivityProcessAugmentationType","scr","ActivityCommentText","scr:ActivityCommentText","0","unbounded",,1720
"scr","ActivityProcessClassificationType","scr:ActivityProcessClassificationType","scr","ActivityProcessCategoryCode","scr:ActivityProcessCategoryCode","0","unbounded",,1530
"scr","ActivityProcessClassificationType","scr:ActivityProcessClassificationType","scr","ActivityProcessDescriptionText","scr:ActivityProcessDescriptionText","0","unbounded",,1540
"scr","ActivityRequestClassificationType","scr:ActivityRequestClassificationType","scr","ActivityRequestCategoryCode","scr:ActivityRequestCategoryCode","0","unbounded",,1550
"scr","ActivityRequestClassificationType","scr:ActivityRequestClassificationType","scr","ActivityRequestDescriptionText","scr:ActivityRequestDescriptionText","0","unbounded",,1560
"scr","ActivityResponseClassificationType","scr:ActivityResponseClassificationType","scr","ActivityResponseCategoryCode","scr:ActivityResponseCategoryCode","0","unbounded",,1570
"scr","ActivityResponseClassificationType","scr:ActivityResponseClassificationType","scr","ActivityResponseDescriptionText","scr:ActivityResponseDescriptionText","0","unbounded",,1580
"scr","ActivityResultsClassificationType","scr:ActivityResultsClassificationType","scr","ActivityResultsCategoryCode","scr:ActivityResultsCategoryCode","0","unbounded",,1590
