"NamespacePrefix","NamespaceFile","VersionURI","VersionReleaseNumber","NamespaceStyle","NamespaceIsExternallyGenerated","IsConformant","Definition"
"addr","",,"1.0","N",1,0,"Draft ANSI Address Data Content Standard schema. See http://www.ansi.org/"
"ansi_d20","ansi_d20","http://niem.gov/niem/ansi_d20/1.0","1.0","E",0,1,"Motor vehicle administration codes from ANSI D20, the Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators."
"apco","apco","http://niem.gov/niem/apco/1.0","1.0","E",0,1,"The Association of Public-Safety Communications Officials (APCO) - International, Inc"
"c","common","http://niem.gov/niem/common/1.0","1.0","C",0,1,"NIEM common core"
"can","post-canada","http://niem.gov/niem/post-canada/1.0","1.0","E",0,1,"Province codes for Canada."
"cap",,,"1.0","N",1,0,"The Common Alerting Protocol (CAP) is a simple but general format for exchanging all-hazard

emergency alerts and public warnings over all kinds of networks. CAP allows a consistent

warning message to be disseminated simultaneously over many different warning systems, thus

increasing warning effectiveness while simplifying the warning task. CAP also facilitates the

detection of emerging patterns in local warnings of various kinds, such as might indicate an

undetected hazard or hostile act. And CAP provides a template for effective warning messages

based on best practices identified in academic research and real-world experience."
"census","census","http://niem.gov/niem/census/1.0","1.0","E",0,1,"Employment codes from the U.S. Census Bureau."
"context","",,"1.0","N",1,0,"Adaptation of OGC Web Map Context schema to work with current versions of other schemas. Adaptation of OGC Web Map Context schema, that imports version 1.0.20 definitions from the StyledLayerDescriptor schema instead of the version 1.0.0 ones, and thereby imports version 1.1 instead of version 1.0 of the filter schema.  The sld:FeatureTypeStyle element was replaced by sld:FeatureStyle element with the same content.
   See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/context/ for schemas."
"de",,,"1.0","N",1,0,"This Distribution Element specification describes a standard message distribution framework for data sharing among emergency information systems using the XML-based Emergency Data Exchange Language (EDXL). This format may be used over any data transmission system, including but not limited to the SOAP HTTP binding."
"dod","dod_misc","http://niem.gov/niem/dod_misc/1.0","1.0","E",0,1,"Security level codes from the Department of Defense (DoD)."
"dod_jcs-pub2.0","dod_jcs-pub2.0-misc","http://niem.gov/niem/dod_jcs-pub2.0-misc/1.0","1.0","E",0,1,"Intelligence discipline codes from the Department of Defense (DoD) Joint Chiefs of Staff (JCS) Publication 2.0, Appendix A."
"edxl","edxl","http://niem.gov/niem/edxl/1.0","1.0","E",0,1,"EDXL"
"edxl-cap","edxl-cap","http://niem.gov/niem/edxl-cap/1.0","1.0","A",0,1,"The Common Alerting Protocol (CAP)."
"edxl-de","edxl-de","http://niem.gov/niem/edxl-de/1.0","1.0","A",0,1,"Distribution Element"
"em","emergencyManagement","http://niem.gov/niem/domains/emergencyManagement/1.0","1.0","D",0,1,"NIEM emergency management domain schema framework"
"eo-12958","eo-12958","http://niem.gov/niem/eo-12958/1.0","1.0","E",0,1,"Security classification codes from Presidential Executive Order 12958."
"ex","",,"1.0","N",1,0,"ISO 10303:part(28):version(2) schema used by IFC See http://www.iai-international.org and http://www.iai-na.com/ for documentation and schemas."
"fips_10-4","fips_10-4","http://niem.gov/niem/fips_10-4/1.0","1.0","E",0,1,"Countries, dependencies, areas of special sovereignty, and their principal administrative divisions from the Federal Information Processing Standards (FIPS) 10-4."
"fips_5-2","fips_5-2","http://niem.gov/niem/fips_5-2/1.0","1.0","E",0,1,"Codes for the identification of the states, the District of Columbia and the outlying areas of the United States, and associated areas from the Federal Information Processing Standards (FIPS) 5-2."
"fips_6-4","fips_6-4","http://niem.gov/niem/fips_6-4/1.0","1.0","E",0,1,"Counties and equivalent entities of the United States, its possessions, and associated areas from the Federal Information Processing Standards (FIPS) 6-4."
"gco","",,"1.0","N",1,0,"ISO/TC211 19139 Metadata definitions compatible with GML3.1.1 Imported by gmd4niem.xsd and re-imported here. See http://www.opengeospatial.org for documentation and schemas."
"gmd","",,"1.0","N",1,0,"ISO/TC211 19139 Metadata definitions compatible with GML3.1.1 Imported by om4niem.xsd and re-imported here. See http://www.opengeospatial.org for documentation and schemas."
"gml","",,"1.0","N",1,0,"A profile of Geography Markup Language (GML) version 3.1.1 schemas for niem.  See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/gml/ for schemas."
